n:i*s A2	nis	call out
s n:b Y1\r1	snb	healthy
s x:r Y1\r1	sxr	plan, manner
x:t Y1/3	xt	things
n:f s G37 A1	nDs	person, individual
i A w A19	iAw	old
i A w A30	iAw	adoration, praise
m a:q Q7	maq	roast
z:r w G54	zrw	goose
A p:d G38	Apd	bird, fowl
z:A1*1	z	man
z:t*B1	zt	woman
m	m	in
n	n	to (people), for
r	r	to (place), at
in	in	by
H n:a	Hna	with
b i n:G37	bin	bad
p:n	pn	this
t:n	tn	that
H b W4	Hb	festival
r:n A2	rn	name
i q:r	iqr	excellent, effective
p*t:N1	pt	sky
x:r A15	xr	fall
h:r w N5	hrw	day
